id_country,name,region,incomeLevel,year,female,male,gdp_pc_2010
FIN,Finland,ECS,HIC,2015,8044.125,10147.31,42560.3456767103
FIN,Finland,ECS,HIC,2016,8150.041,10692.488,43529.676196739
FIN,Finland,ECS,HIC,2017,7738.275,10691.398,44862.2204947012
FIN,Finland,ECS,HIC,2018,8101.02,10771.216,45337.2411058586
FIN,Finland,ECS,HIC,2019,7490.758,11430.604,45898.5709888883
FIN,Finland,ECS,HIC,2020,7375.551,12048.235,44690.9801797392
FIN,Finland,ECS,HIC,2021,8039.614,12903.787,45818.0762904738
FIN,Finland,ECS,HIC,2022,9573.615,13401.694,46356.2256378669
FJI,Fiji,EAS,UMC,2011,2547.753,2233.833,4375.58089378139
FJI,Fiji,EAS,UMC,2016,1891.013,1973.547,5218.85826502641
FRA,France,ECS,HIC,2011,3279.68,4021.98,36269.9561589984
FRA,France,ECS,HIC,2012,3219.423,4055.074,36161.2918334209
FRA,France,ECS,HIC,2013,3426.43,4405.723,36256.0866889623
FRA,France,ECS,HIC,2014,3599.417,4390.406,36444.3949135827
FRA,France,ECS,HIC,2015,3521.133,4453.476,36702.4323733379
FRA,France,ECS,HIC,2016,3691.481,4552.825,36920.5342871045
FRA,France,ECS,HIC,2017,3755.896,4675.074,37580.5979319486
FRA,France,ECS,HIC,2018,3870.377,4661.431,38062.4435971517
FRA,France,ECS,HIC,2019,3957.159,5161.283,38705.2072997191
FRA,France,ECS,HIC,2020,4141.475,5035.13,35709.204585868
FRA,France,ECS,HIC,2021,7835.778,12165.611,38030.8571728494
FRA,France,ECS,HIC,2022,8355.092,12778.761,38881.2230653186
GBR,United Kingdom,ECS,HIC,2011,1510.441,2089.212,42459.9629998419
GBR,United Kingdom,ECS,HIC,2012,1684.094,2312.935,42802.0207834042
GBR,United Kingdom,ECS,HIC,2013,1706.282,2256.0,43281.5764200721
GBR,United Kingdom,ECS,HIC,2014,1604.143,2155.249,44336.537861323
